CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
441,44.3798558,-73.2580573,59.66,0.109999999404,STABILIZE,3,8
441,44.3798559,-73.258057,59.64,0.0799999982119,STABILIZE,3,8
441,44.3798572,-73.2580566,59.67,0.179999992251,STABILIZE,3,8
440,44.3798573,-73.258057,59.67,0.0899999961257,STABILIZE,3,8
440,44.3798575,-73.258057,59.66,0.0999999940395,STABILIZE,3,8
440,44.3798581,-73.2580573,59.69,0.140000000596,STABILIZE,3,8
440,44.3798586,-73.2580575,59.75,0.109999999404,STABILIZE,3,8
439,44.3798592,-73.2580575,59.76,0.209999993443,STABILIZE,3,8
439,44.3798597,-73.2580573,59.74,0.399999976158,STABILIZE,3,8
439,44.3798601,-73.2580552,59.7,0.409999996424,STABILIZE,3,8
439,44.3798611,-73.2580549,59.64,0.0999999940395,STABILIZE,3,8
439,44.379862,-73.258055,59.58,0.0499999970198,STABILIZE,3,8
439,44.3798625,-73.258055,59.51,0.179999992251,STABILIZE,3,8
439,44.3798628,-73.2580561,59.47,0.140000000596,STABILIZE,3,8
439,44.3798635,-73.2580561,59.42,0.0799999982119,STABILIZE,3,8
439,44.3798643,-73.2580566,59.36,0.129999995232,STABILIZE,3,8
439,44.3798654,-73.2580566,59.33,0.0599999986589,STABILIZE,3,8
439,44.379866,-73.2580564,59.33,0.0399999991059,STABILIZE,3,8
439,44.3798656,-73.2580569,59.32,0.0399999991059,STABILIZE,3,8
439,44.3798664,-73.2580575,59.33,0.239999994636,STABILIZE,3,8
439,44.3798669,-73.2580577,59.36,0.159999996424,STABILIZE,3,8
439,44.3798676,-73.2580576,59.38,0.0299999993294,STABILIZE,3,8
438,44.3798672,-73.2580584,59.4,0.0,STABILIZE,3,8
438,44.3798674,-73.2580579,59.39,0.0599999986589,STABILIZE,3,8
438,44.3798676,-73.2580583,59.34,0.00999999977648,STABILIZE,3,8
439,44.3798673,-73.2580585,59.24,0.209999993443,STABILIZE,3,8
439,44.3798671,-73.2580587,59.35,0.00999999977648,STABILIZE,3,8
439,44.3798677,-73.2580591,59.47,0.119999997318,STABILIZE,3,8
439,44.379869,-73.2580605,59.52,0.0899999961257,STABILIZE,3,8
440,44.37987,-73.258061,59.58,0.179999992251,STABILIZE,3,8
440,44.3798709,-73.2580612,59.61,0.109999999404,STABILIZE,3,8
440,44.3798714,-73.2580614,59.62,0.109999999404,STABILIZE,3,8
440,44.379872,-73.2580619,59.61,0.070000000298,STABILIZE,3,8
440,44.379873,-73.2580624,59.61,0.0399999991059,STABILIZE,3,8
440,44.3798729,-73.258063,59.61,0.109999999404,STABILIZE,3,8
440,44.3798727,-73.2580636,59.61,0.0999999940395,STABILIZE,3,8
440,44.3798731,-73.2580639,59.64,0.189999997616,STABILIZE,3,8
440,44.379873,-73.2580646,59.63,0.140000000596,STABILIZE,3,8
440,44.379873,-73.2580653,59.63,0.0899999961257,STABILIZE,3,8
440,44.3798734,-73.2580658,59.63,0.109999999404,STABILIZE,3,8
441,44.3798734,-73.2580655,59.64,0.0899999961257,STABILIZE,3,8
441,44.3798726,-73.2580665,59.62,0.539999961853,STABILIZE,3,8
441,44.3798727,-73.2580662,59.62,0.109999999404,STABILIZE,3,8
441,44.3798732,-73.2580661,59.6,0.129999995232,STABILIZE,3,8
440,44.3798736,-73.2580667,59.61,0.159999996424,STABILIZE,3,8
440,44.3798734,-73.2580669,59.63,0.159999996424,STABILIZE,3,8
440,44.3798734,-73.2580655,59.62,0.019999999553,STABILIZE,3,8
