CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
496,44.3800196,-73.2580948,60.82,0.189999997616,STABILIZE,4,10
496,44.38002,-73.2580938,60.81,0.129999995232,STABILIZE,4,10
496,44.3800203,-73.258093,60.82,0.119999997318,STABILIZE,4,10
496,44.3800203,-73.2580919,60.83,0.0499999970198,STABILIZE,4,10
496,44.3800202,-73.2580919,60.82,0.0399999991059,STABILIZE,4,10
496,44.3800201,-73.2580914,60.84,0.149999991059,STABILIZE,4,10
496,44.3800202,-73.2580916,60.85,0.0799999982119,STABILIZE,4,10
496,44.3800202,-73.258092,60.84,0.170000001788,STABILIZE,4,10
496,44.3800204,-73.258092,60.83,0.0899999961257,STABILIZE,4,10
496,44.3800204,-73.258092,60.8,0.070000000298,STABILIZE,4,10
496,44.3800209,-73.2580927,60.81,0.0599999986589,STABILIZE,4,10
496,44.3800217,-73.258092,60.82,0.229999989271,STABILIZE,4,10
496,44.3800224,-73.2580919,60.81,0.070000000298,STABILIZE,4,10
496,44.3800224,-73.2580929,60.81,0.140000000596,STABILIZE,4,10
496,44.3800223,-73.2580936,60.82,0.0499999970198,STABILIZE,4,10
496,44.380022,-73.2580944,60.83,0.0899999961257,STABILIZE,4,10
496,44.3800221,-73.2580954,60.84,0.0999999940395,STABILIZE,4,10
496,44.3800226,-73.2580954,60.85,0.170000001788,STABILIZE,4,10
496,44.3800224,-73.2580955,60.85,0.070000000298,STABILIZE,4,10
496,44.3800224,-73.2580955,60.83,0.179999992251,STABILIZE,4,10
496,44.3800218,-73.2580964,60.81,0.159999996424,STABILIZE,4,10
496,44.3800215,-73.2580964,60.8,0.0799999982119,STABILIZE,4,10
496,44.3800217,-73.2580955,60.79,0.209999993443,STABILIZE,4,10
496,44.3800214,-73.2580964,60.78,0.229999989271,STABILIZE,4,10
496,44.3800211,-73.258097,60.81,0.0299999993294,STABILIZE,4,10
496,44.3800216,-73.2580967,60.83,0.0899999961257,STABILIZE,4,10
496,44.3800219,-73.2580972,60.83,0.0999999940395,STABILIZE,4,10
496,44.3800218,-73.2580975,60.83,0.179999992251,STABILIZE,4,10
496,44.3800211,-73.2581003,60.83,0.140000000596,STABILIZE,4,10
496,44.3800207,-73.2581017,60.84,0.019999999553,STABILIZE,4,10
496,44.3800207,-73.2581032,60.86,0.159999996424,STABILIZE,4,10
496,44.3800207,-73.2581032,60.88,0.280000001192,STABILIZE,4,10
496,44.3800201,-73.2581037,60.87,0.159999996424,STABILIZE,4,10
496,44.3800198,-73.2581034,60.84,0.229999989271,STABILIZE,4,10
496,44.3800188,-73.2581052,60.85,0.269999980927,STABILIZE,4,9
496,44.3800183,-73.2581058,60.85,0.070000000298,STABILIZE,4,10
496,44.3800175,-73.2581047,60.85,0.0399999991059,STABILIZE,4,10
496,44.3800171,-73.2581041,60.85,0.0599999986589,STABILIZE,4,10
496,44.3800161,-73.2581057,60.84,0.140000000596,STABILIZE,4,10
496,44.3800159,-73.2581069,60.85,0.0799999982119,STABILIZE,4,10
496,44.3800156,-73.2581079,60.84,0.170000001788,STABILIZE,4,10
497,44.3800155,-73.2581082,60.86,0.0499999970198,STABILIZE,4,10
497,44.3800149,-73.2581082,60.85,0.0899999961257,STABILIZE,4,10
497,44.3800138,-73.2581108,60.84,0.0399999991059,STABILIZE,4,10
497,44.3800137,-73.2581113,60.85,0.0599999986589,STABILIZE,4,10
497,44.3800133,-73.2581128,60.84,0.0599999986589,STABILIZE,4,10
497,44.3800135,-73.2581129,60.84,0.0599999986589,STABILIZE,4,10
497,44.3800132,-73.2581136,60.84,0.0499999970198,STABILIZE,4,10
498,44.3800134,-73.2581137,60.85,0.229999989271,STABILIZE,4,10
498,44.3800133,-73.2581141,60.85,0.25,STABILIZE,4,10
498,44.3800135,-73.2581141,60.82,0.0799999982119,STABILIZE,4,10
498,44.3800143,-73.2581126,60.8,0.289999991655,STABILIZE,4,10
499,44.3800156,-73.2581114,60.8,0.159999996424,STABILIZE,4,10
499,44.3800155,-73.2581109,60.8,0.189999997616,STABILIZE,4,10
499,44.3800159,-73.2581117,60.79,0.329999983311,STABILIZE,4,10
499,44.3800155,-73.2581132,60.8,0.070000000298,STABILIZE,4,10
500,44.3800148,-73.2581141,60.8,0.070000000298,STABILIZE,4,10
500,44.380015,-73.2581143,60.79,0.170000001788,STABILIZE,4,9
500,44.3800157,-73.2581152,60.77,0.0399999991059,STABILIZE,4,9
500,44.3800158,-73.2581149,60.78,0.199999988079,STABILIZE,4,9
500,44.3800167,-73.2581156,60.76,0.199999988079,STABILIZE,4,9
500,44.3800168,-73.2581156,60.76,0.0399999991059,STABILIZE,4,9
500,44.3800171,-73.2581153,60.77,0.229999989271,STABILIZE,4,9
501,44.380017,-73.2581142,60.77,0.0899999961257,STABILIZE,4,10
501,44.3800167,-73.2581151,60.77,0.119999997318,STABILIZE,4,10
501,44.3800164,-73.2581157,60.78,0.0799999982119,STABILIZE,4,10
501,44.380016,-73.2581157,60.8,0.179999992251,STABILIZE,4,10
502,44.380015,-73.2581175,60.8,0.0999999940395,STABILIZE,4,10
502,44.3800144,-73.2581181,60.81,0.0599999986589,STABILIZE,4,10
502,44.380013,-73.2581204,60.8,0.129999995232,STABILIZE,4,10
502,44.380012,-73.2581217,60.8,0.149999991059,STABILIZE,4,10
502,44.3800109,-73.2581235,60.8,0.070000000298,STABILIZE,4,10
502,44.3800099,-73.2581257,60.81,0.0799999982119,STABILIZE,4,10
502,44.3800091,-73.2581278,60.82,0.0999999940395,STABILIZE,4,10
503,44.3800087,-73.2581285,60.82,0.0999999940395,STABILIZE,4,10
503,44.3800087,-73.258128,60.82,0.0299999993294,STABILIZE,4,10
503,44.3800087,-73.2581266,60.82,0.0599999986589,STABILIZE,4,10
503,44.3800091,-73.2581254,60.82,0.25,STABILIZE,4,10
503,44.3800093,-73.2581242,60.82,0.199999988079,STABILIZE,4,10
503,44.3800091,-73.2581236,60.81,0.0399999991059,STABILIZE,4,10
503,44.3800089,-73.2581229,60.81,0.159999996424,STABILIZE,4,10
503,44.380009,-73.2581211,60.81,0.149999991059,STABILIZE,4,10
503,44.3800085,-73.2581199,60.81,0.129999995232,STABILIZE,4,10
503,44.3800083,-73.2581192,60.82,0.00999999977648,STABILIZE,4,10
503,44.3800081,-73.2581188,60.8,0.0899999961257,STABILIZE,4,10
503,44.3800079,-73.2581179,60.8,0.0599999986589,STABILIZE,4,10
503,44.3800077,-73.2581173,60.81,0.070000000298,STABILIZE,4,10
503,44.3800075,-73.2581169,60.8,0.0999999940395,STABILIZE,4,10
503,44.3800075,-73.2581163,60.81,0.0299999993294,STABILIZE,4,10
503,44.3800073,-73.2581152,60.84,0.119999997318,STABILIZE,4,10
503,44.3800068,-73.2581152,60.84,0.119999997318,STABILIZE,4,10
503,44.3800064,-73.2581151,60.85,0.0299999993294,STABILIZE,4,10
503,44.3800057,-73.258115,60.86,0.159999996424,STABILIZE,4,10
503,44.3800051,-73.258115,60.86,0.019999999553,STABILIZE,4,10
503,44.3800046,-73.2581143,60.85,0.070000000298,STABILIZE,4,10
503,44.3800045,-73.2581133,60.85,0.0499999970198,STABILIZE,4,10
503,44.3800044,-73.2581128,60.86,0.0399999991059,STABILIZE,4,10
503,44.3800043,-73.2581119,60.85,0.019999999553,STABILIZE,4,10
503,44.3800039,-73.2581114,60.85,0.0899999961257,STABILIZE,4,10
503,44.3800039,-73.2581107,60.82,0.070000000298,STABILIZE,4,10
503,44.3800042,-73.2581097,60.8,0.0999999940395,STABILIZE,4,10
503,44.3800043,-73.258109,60.8,0.0799999982119,STABILIZE,4,10
503,44.3800048,-73.2581078,60.79,0.070000000298,STABILIZE,4,10
503,44.3800049,-73.2581076,60.79,0.0599999986589,STABILIZE,4,10
502,44.3800053,-73.2581065,60.79,0.0599999986589,STABILIZE,4,10
502,44.3800055,-73.2581057,60.8,0.070000000298,STABILIZE,4,10
502,44.3800059,-73.258105,60.81,0.0399999991059,STABILIZE,4,10
502,44.3800062,-73.2581047,60.79,0.0499999970198,STABILIZE,4,10
502,44.380007,-73.2581042,60.77,0.119999997318,STABILIZE,4,10
502,44.380007,-73.258104,60.77,0.0499999970198,STABILIZE,4,10
502,44.380007,-73.2581045,60.77,0.070000000298,STABILIZE,4,9
502,44.3800067,-73.2581048,60.77,0.199999988079,STABILIZE,4,10
502,44.3800067,-73.2581049,60.78,0.0999999940395,STABILIZE,4,9
502,44.3800062,-73.258106,60.76,0.0399999991059,STABILIZE,4,10
502,44.380006,-73.2581067,60.74,0.149999991059,STABILIZE,4,9
502,44.3800057,-73.2581075,60.74,0.109999999404,STABILIZE,4,9
502,44.3800054,-73.2581083,60.75,0.159999996424,STABILIZE,4,9
502,44.3800056,-73.2581085,60.76,0.179999992251,STABILIZE,4,9
502,44.3800058,-73.258108,60.76,0.070000000298,STABILIZE,4,9
502,44.3800056,-73.2581082,60.77,0.140000000596,STABILIZE,4,9
502,44.3800056,-73.2581083,60.78,0.149999991059,STABILIZE,4,9
502,44.3800058,-73.2581075,60.79,0.0499999970198,STABILIZE,4,9
502,44.3800056,-73.2581073,60.78,0.109999999404,STABILIZE,4,9
502,44.3800055,-73.2581067,60.78,0.189999997616,STABILIZE,4,9
502,44.3800054,-73.2581059,60.77,0.209999993443,STABILIZE,4,9
502,44.3800053,-73.2581055,60.76,0.0599999986589,STABILIZE,4,9
502,44.3800053,-73.2581051,60.75,0.0599999986589,STABILIZE,4,9
502,44.3800055,-73.2581047,60.74,0.149999991059,STABILIZE,4,9
502,44.3800058,-73.2581043,60.73,0.109999999404,STABILIZE,4,9
502,44.3800057,-73.2581044,60.74,0.0999999940395,STABILIZE,4,9
502,44.3800063,-73.2581044,60.76,0.0999999940395,STABILIZE,4,9
501,44.3800062,-73.2581043,60.87,0.179999992251,STABILIZE,4,10
501,44.3800057,-73.258105,61.07,0.0499999970198,STABILIZE,4,9
501,44.3800059,-73.2581083,61.1,0.539999961853,STABILIZE,4,10
501,44.3800074,-73.2581115,61.03,0.839999973774,STABILIZE,4,9
501,44.3800088,-73.2581173,60.98,0.509999990463,STABILIZE,4,10
501,44.3800096,-73.258118,60.97,0.170000001788,STABILIZE,4,9
501,44.3800149,-73.258114,60.96,0.909999966621,STABILIZE,4,10
501,44.3800186,-73.2581131,60.97,0.969999969006,STABILIZE,4,10
501,44.3800251,-73.2581148,60.96,0.8599999547,STABILIZE,4,10
501,44.3800291,-73.2581155,61.01,0.8599999547,STABILIZE,4,10
501,44.3800325,-73.2581162,61.06,0.919999957085,STABILIZE,4,10
501,44.3800376,-73.2581172,61.09,1.10000002384,STABILIZE,4,10
501,44.380042,-73.2581196,61.07,1.95999991894,STABILIZE,4,10
501,44.380048,-73.2581224,61.03,1.22000002861,STABILIZE,4,10
501,44.3800525,-73.2581262,61.05,0.849999964237,STABILIZE,4,9
500,44.3800582,-73.2581274,61.09,1.45999991894,STABILIZE,4,10
500,44.3800619,-73.2581297,61.09,1.14999997616,STABILIZE,4,10
500,44.380068,-73.2581339,61.1,1.39999997616,STABILIZE,4,9
500,44.3800738,-73.2581347,61.1,1.0,STABILIZE,4,10
500,44.3800772,-73.2581375,61.11,0.719999969006,STABILIZE,4,10
500,44.3800788,-73.2581401,61.12,0.789999961853,STABILIZE,4,10
500,44.3800803,-73.2581425,61.11,0.550000011921,STABILIZE,4,10
499,44.3800813,-73.2581474,61.29,0.829999983311,STABILIZE,4,10
499,44.3800826,-73.2581542,61.24,0.649999976158,STABILIZE,4,10
499,44.3800821,-73.2581552,61.12,0.810000002384,STABILIZE,4,10
499,44.3800822,-73.2581513,60.96,0.229999989271,STABILIZE,4,10
499,44.3800863,-73.2581474,60.98,0.989999949932,STABILIZE,4,10
499,44.3800923,-73.2581477,61.0,0.709999978542,STABILIZE,4,10
499,44.3800988,-73.2581486,61.04,1.06999993324,STABILIZE,4,10
499,44.3801029,-73.2581512,61.09,1.37000000477,STABILIZE,4,9
496,44.3801154,-73.2581545,61.26,1.87000000477,STABILIZE,4,10
496,44.3801217,-73.2581554,61.36,1.76999998093,STABILIZE,4,10
496,44.3801316,-73.2581541,61.4,1.51999998093,STABILIZE,4,10
496,44.3801374,-73.2581527,61.42,1.80999994278,STABILIZE,4,10
496,44.3801432,-73.2581533,61.47,1.58999991417,STABILIZE,4,10
496,44.3801542,-73.2581543,61.51,1.73000001907,STABILIZE,4,10
496,44.3801602,-73.2581546,61.49,1.59999990463,STABILIZE,4,10
496,44.3801684,-73.2581571,61.49,1.63999998569,STABILIZE,4,10
496,44.3801747,-73.2581587,61.49,1.75999999046,STABILIZE,4,10
496,44.3801826,-73.2581625,61.49,1.59999990463,STABILIZE,4,10
496,44.3801918,-73.2581669,61.49,1.81999993324,STABILIZE,4,10
496,44.3802001,-73.2581741,61.33,1.62000000477,STABILIZE,4,10
496,44.3802064,-73.2581769,61.35,1.73000001907,STABILIZE,4,10
496,44.380213,-73.2581779,61.3,1.67999994755,STABILIZE,4,10
496,44.3802247,-73.2581821,61.31,1.50999999046,STABILIZE,4,10
