CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
474,44.3799797,-73.258112,52.98,0.719999969006,STABILIZE,3,6
474,44.3799812,-73.2581099,52.98,0.170000001788,STABILIZE,3,6
474,44.3799824,-73.2581102,53.0,0.159999996424,STABILIZE,3,6
474,44.3799819,-73.2581101,53.0,0.399999976158,STABILIZE,3,6
473,44.3799815,-73.2581104,53.0,0.329999983311,STABILIZE,3,6
473,44.3799816,-73.2581105,52.99,0.439999997616,STABILIZE,3,6
473,44.3799844,-73.2581066,52.98,0.0799999982119,STABILIZE,3,6
473,44.3799816,-73.2581091,52.99,0.34999999404,STABILIZE,3,6
473,44.3799795,-73.2581115,53.0,0.299999982119,STABILIZE,3,6
473,44.3799797,-73.258111,53.0,0.070000000298,STABILIZE,3,6
473,44.379978,-73.2581112,53.0,0.0899999961257,STABILIZE,3,6
472,44.3799772,-73.258111,53.01,0.0799999982119,STABILIZE,3,6
472,44.3799769,-73.2581106,53.01,0.34999999404,STABILIZE,3,6
472,44.3799784,-73.2581077,52.98,0.129999995232,STABILIZE,3,6
472,44.3799803,-73.2581042,53.0,0.299999982119,STABILIZE,3,6
472,44.3799782,-73.2581022,52.97,0.42999997735,STABILIZE,3,6
472,44.3799804,-73.2580999,52.97,0.129999995232,STABILIZE,3,6
472,44.3799816,-73.2580965,52.98,0.25,STABILIZE,3,6
472,44.3799818,-73.258095,52.95,0.129999995232,STABILIZE,3,6
472,44.3799797,-73.2580959,52.93,0.269999980927,STABILIZE,3,6
472,44.3799831,-73.2580925,52.92,0.179999992251,STABILIZE,3,6
472,44.379982,-73.2580922,52.92,0.259999990463,STABILIZE,3,6
472,44.3799851,-73.2580897,52.9,0.280000001192,STABILIZE,3,6
472,44.3799865,-73.2580887,52.91,0.319999992847,STABILIZE,3,6
472,44.3799872,-73.2580861,52.91,0.289999991655,STABILIZE,3,6
472,44.37999,-73.258083,52.91,0.550000011921,STABILIZE,3,6
472,44.379992,-73.2580805,52.91,0.459999978542,STABILIZE,3,6
472,44.3799897,-73.2580847,52.91,0.419999986887,STABILIZE,3,6
472,44.3799906,-73.258084,52.91,0.299999982119,STABILIZE,3,6
472,44.3799887,-73.2580861,52.9,0.340000003576,STABILIZE,3,6
472,44.3799878,-73.2580879,52.9,0.209999993443,STABILIZE,3,6
472,44.3799882,-73.2580874,52.86,0.179999992251,STABILIZE,3,5
472,44.3799879,-73.2580855,52.86,0.070000000298,STABILIZE,3,5
472,44.3799877,-73.2580873,52.87,0.070000000298,STABILIZE,3,6
471,44.3799882,-73.2580873,52.88,0.189999997616,STABILIZE,3,7
471,44.3799861,-73.2580904,52.88,0.0399999991059,STABILIZE,3,7
471,44.3799869,-73.2580878,52.86,0.419999986887,STABILIZE,3,7
471,44.379988,-73.2580863,52.86,0.070000000298,STABILIZE,3,7
471,44.3799857,-73.258089,52.84,0.289999991655,STABILIZE,3,7
471,44.3799859,-73.2580899,52.83,0.0599999986589,STABILIZE,3,7
471,44.3799859,-73.2580891,52.81,0.119999997318,STABILIZE,3,7
471,44.3799878,-73.2580867,52.8,0.239999994636,STABILIZE,3,7
