CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
754,44.3806141,-73.2582167,-3.77,0.109999999404,STABILIZE,3,8
752,44.3806124,-73.2582199,-3.79,0.070000000298,STABILIZE,3,8
752,44.3806118,-73.2582225,-3.83,0.149999991059,STABILIZE,3,8
752,44.3806104,-73.258227,-3.86,0.329999983311,STABILIZE,3,8
751,44.3806094,-73.2582315,-3.88,0.109999999404,STABILIZE,3,8
751,44.3806092,-73.25823,-3.91,0.959999978542,STABILIZE,3,8
751,44.380609,-73.258233,-3.92,0.769999980927,STABILIZE,3,8
751,44.3806088,-73.2582352,-3.92,0.149999991059,STABILIZE,3,8
748,44.38061,-73.2582291,-3.92,1.37000000477,STABILIZE,3,8
748,44.3806105,-73.258226,-3.93,1.01999998093,STABILIZE,3,8
748,44.3806092,-73.2582321,-3.94,0.589999973774,STABILIZE,3,8
748,44.3806074,-73.258235,-3.96,0.299999982119,STABILIZE,3,8
748,44.380606,-73.258236,-3.97,0.329999983311,STABILIZE,3,9
748,44.3806043,-73.258238,-3.99,0.340000003576,STABILIZE,3,9
748,44.3806039,-73.2582399,-4.0,0.259999990463,STABILIZE,3,9
749,44.3806029,-73.2582429,-4.02,0.0799999982119,STABILIZE,3,9
749,44.3806026,-73.2582435,-4.02,0.409999996424,STABILIZE,3,9
749,44.3806023,-73.2582434,-4.05,0.629999995232,STABILIZE,3,9
749,44.3806017,-73.2582436,-4.08,0.199999988079,STABILIZE,3,9
748,44.3806006,-73.2582469,-4.07,0.269999980927,STABILIZE,3,9
748,44.3806008,-73.2582473,-4.06,0.34999999404,STABILIZE,3,9
748,44.380601,-73.2582447,-4.07,0.219999998808,STABILIZE,3,9
748,44.3806012,-73.2582441,-4.09,0.719999969006,STABILIZE,3,9
747,44.3805995,-73.2582478,-4.12,0.509999990463,STABILIZE,3,9
747,44.3805997,-73.2582499,-4.16,0.359999984503,STABILIZE,3,9
747,44.380599,-73.2582526,-4.19,0.329999983311,STABILIZE,3,9
747,44.3805966,-73.2582589,-4.3,0.589999973774,STABILIZE,3,9
745,44.3805939,-73.2582635,-4.33,1.73000001907,STABILIZE,3,9
745,44.3805791,-73.2582697,-4.35,3.59999990463,STABILIZE,3,9
745,44.3805696,-73.2582759,-4.36,1.89999997616,STABILIZE,3,9
741,44.3805621,-73.2582784,-4.38,0.77999997139,STABILIZE,3,9
741,44.3805564,-73.2582839,-4.39,0.639999985695,STABILIZE,3,9
741,44.3805561,-73.2582856,-4.42,0.870000004768,STABILIZE,3,9
741,44.380558,-73.2582857,-4.46,0.439999997616,STABILIZE,3,9
730,44.3805598,-73.2582855,-4.49,0.849999964237,STABILIZE,3,9
730,44.3805643,-73.2582812,-4.53,0.459999978542,STABILIZE,3,9
730,44.3805664,-73.2582806,-4.57,0.25,STABILIZE,3,9
730,44.3805682,-73.2582807,-4.62,0.599999964237,STABILIZE,3,9
719,44.3805692,-73.2582791,-4.64,0.389999985695,STABILIZE,3,9
719,44.3805711,-73.2582763,-4.66,0.42999997735,STABILIZE,3,9
719,44.3805729,-73.2582748,-4.65,0.519999980927,STABILIZE,3,9
719,44.3805746,-73.2582719,-4.63,0.889999985695,STABILIZE,3,9
706,44.3805732,-73.2582714,-4.58,0.819999992847,STABILIZE,3,9
706,44.3805746,-73.2582688,-4.41,0.519999980927,STABILIZE,3,10
706,44.3805689,-73.2582794,-4.2,0.219999998808,STABILIZE,3,10
692,44.3805668,-73.2582826,-4.16,1.27999997139,STABILIZE,3,9
692,44.3805686,-73.2582762,-4.2,1.09000003338,STABILIZE,3,9
692,44.3805704,-73.2582704,-4.25,0.829999983311,STABILIZE,3,9
692,44.3805704,-73.2582677,-4.32,0.179999992251,STABILIZE,3,9
660,44.3805711,-73.2582673,-4.41,1.26999998093,STABILIZE,3,9
660,44.3805724,-73.2582651,-4.47,0.409999996424,STABILIZE,3,9
660,44.380573,-73.2582668,-4.61,0.299999982119,STABILIZE,3,9
660,44.3805734,-73.2582664,-4.69,0.170000001788,STABILIZE,3,9
650,44.3805706,-73.2582705,-4.68,1.26999998093,STABILIZE,3,9
650,44.380569,-73.2582751,-4.56,0.370000004768,STABILIZE,3,9
650,44.3805688,-73.2582778,-4.34,0.340000003576,STABILIZE,3,9
650,44.3805693,-73.2582835,-4.26,0.589999973774,STABILIZE,3,10
634,44.3805772,-73.258278,-4.07,1.28999996185,STABILIZE,3,10
634,44.3805808,-73.2582771,-4.0,1.39999997616,STABILIZE,3,9
634,44.3805923,-73.2582731,-3.96,1.23000001907,STABILIZE,3,9
623,44.380596,-73.2582707,-3.97,0.52999997139,STABILIZE,3,9
623,44.3805969,-73.2582751,-3.91,0.680000007153,STABILIZE,3,9
623,44.3805971,-73.2582746,-3.9,0.239999994636,STABILIZE,3,9
623,44.3806009,-73.2582708,-3.9,1.03999996185,STABILIZE,3,9
613,44.3806029,-73.2582695,-3.9,0.299999982119,STABILIZE,3,9
613,44.3806033,-73.2582724,-3.9,0.119999997318,STABILIZE,3,9
613,44.3806034,-73.2582707,-3.9,0.0899999961257,STABILIZE,3,9
613,44.3806046,-73.258269,-4.04,0.0999999940395,STABILIZE,3,9
600,44.3806045,-73.2582688,-4.09,0.479999989271,STABILIZE,3,9
600,44.3806064,-73.2582686,-4.13,0.569999992847,STABILIZE,3,8
600,44.3806061,-73.2582762,-4.19,0.199999988079,STABILIZE,3,8
600,44.3806083,-73.2582799,-4.23,0.109999999404,STABILIZE,3,9
599,44.3806108,-73.2582812,-4.29,0.489999979734,STABILIZE,3,9
599,44.3806124,-73.2582847,-4.34,0.759999990463,STABILIZE,3,9
599,44.3806177,-73.2582901,-4.32,1.24000000954,STABILIZE,3,9
584,44.3806258,-73.2582911,-4.28,0.8599999547,STABILIZE,3,9
584,44.3806319,-73.2582907,-4.29,1.43999993801,STABILIZE,3,9
584,44.38064,-73.2582946,-4.29,1.23000001907,STABILIZE,3,9
584,44.3806459,-73.2582916,-4.28,2.1099998951,STABILIZE,3,9
581,44.3806541,-73.2582879,-4.27,1.89999997616,STABILIZE,3,9
581,44.3806609,-73.2582885,-4.3,1.39999997616,STABILIZE,3,10
581,44.3806697,-73.2582885,-4.32,1.5,STABILIZE,3,9
581,44.3806756,-73.2582903,-4.33,1.61000001431,STABILIZE,3,9
566,44.3806854,-73.2582911,-4.29,2.0,STABILIZE,3,9
566,44.3806921,-73.2582909,-4.27,2.0,STABILIZE,3,9
566,44.380704,-73.2582921,-4.21,1.33999991417,STABILIZE,3,9
566,44.3807086,-73.2582923,-4.11,1.40999996662,STABILIZE,3,9
562,44.3807099,-73.2582915,-4.1,0.77999997139,STABILIZE,3,9
562,44.3807058,-73.2582921,-4.1,0.659999966621,STABILIZE,3,9
562,44.3807018,-73.2582927,-4.01,0.839999973774,STABILIZE,3,9
549,44.3806988,-73.2582946,-3.98,0.299999982119,STABILIZE,3,9
549,44.3806996,-73.258298,-3.96,0.340000003576,STABILIZE,3,9
549,44.3807031,-73.2583,-3.99,0.159999996424,STABILIZE,3,9
549,44.3807057,-73.2583001,-3.99,0.329999983311,STABILIZE,3,9
546,44.3807125,-73.2583043,-4.12,1.37000000477,STABILIZE,3,9
546,44.380718,-73.2583056,-4.17,1.99000000954,STABILIZE,3,8
546,44.3807282,-73.2583051,-4.18,1.63999998569,STABILIZE,3,8
546,44.3807355,-73.2583047,-4.17,2.11999988556,STABILIZE,3,8
533,44.3807426,-73.2583034,-4.17,1.62999999523,STABILIZE,3,9
533,44.3807553,-73.2583069,-4.21,1.80999994278,STABILIZE,3,8
533,44.3807623,-73.2583075,-4.22,1.80999994278,STABILIZE,3,8
533,44.3807695,-73.2583093,-4.21,1.19999992847,STABILIZE,3,8
535,44.3807777,-73.2583109,-4.21,1.90999996662,STABILIZE,3,9
535,44.3807858,-73.2583129,-4.21,1.75,STABILIZE,3,9
535,44.3807928,-73.2583134,-4.19,1.61000001431,STABILIZE,3,8
528,44.3808025,-73.2583102,-4.18,2.01999998093,STABILIZE,3,8
528,44.3808083,-73.2583112,-4.16,1.63999998569,STABILIZE,3,8
528,44.3808167,-73.2583074,-4.12,1.27999997139,STABILIZE,3,9
528,44.380822,-73.258307,-4.12,1.09000003338,STABILIZE,3,9
529,44.3808258,-73.258309,-4.09,1.84999990463,STABILIZE,3,8
529,44.3808344,-73.258308,-4.07,1.56999993324,STABILIZE,3,8
529,44.38084,-73.2583105,-4.05,1.83999991417,STABILIZE,3,8
529,44.3808467,-73.2583188,-3.96,1.06999993324,STABILIZE,3,10
525,44.3808512,-73.258322,-3.94,1.25999999046,STABILIZE,3,10
525,44.3808589,-73.2583282,-3.92,1.40999996662,STABILIZE,3,10
525,44.3808646,-73.2583303,-3.9,1.4699999094,STABILIZE,3,10
525,44.3808753,-73.2583332,-3.89,1.48000001907,STABILIZE,3,10
526,44.3808797,-73.2583353,-3.87,1.28999996185,STABILIZE,3,10
526,44.3808835,-73.2583377,-3.83,1.07999992371,STABILIZE,3,10
