CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
474,44.3798585,-73.2580414,51.93,0.179999992251,STABILIZE,3,7
474,44.3798582,-73.2580422,51.91,0.00999999977648,STABILIZE,3,7
474,44.3798574,-73.2580428,51.9,0.0899999961257,STABILIZE,3,7
466,44.3798571,-73.2580428,51.91,0.179999992251,STABILIZE,3,7
466,44.3798572,-73.2580438,51.91,0.0499999970198,STABILIZE,3,7
466,44.379857,-73.2580453,51.92,0.229999989271,STABILIZE,3,7
460,44.3798574,-73.2580461,51.9,0.0899999961257,STABILIZE,3,7
460,44.3798572,-73.2580467,51.89,0.189999997616,STABILIZE,3,7
460,44.3798573,-73.2580469,51.89,0.0599999986589,STABILIZE,3,7
460,44.3798574,-73.2580464,51.88,0.0899999961257,STABILIZE,3,7
456,44.3798576,-73.2580472,51.87,0.070000000298,STABILIZE,3,7
456,44.379858,-73.2580478,51.86,0.0299999993294,STABILIZE,3,7
456,44.3798582,-73.2580478,51.86,0.0599999986589,STABILIZE,3,7
456,44.3798588,-73.2580484,51.87,0.149999991059,STABILIZE,3,7
450,44.3798592,-73.2580485,51.87,0.229999989271,STABILIZE,3,7
450,44.3798596,-73.2580483,51.88,0.0999999940395,STABILIZE,3,7
450,44.3798602,-73.258049,51.89,0.149999991059,STABILIZE,3,7
447,44.3798604,-73.2580502,51.89,0.0799999982119,STABILIZE,3,7
447,44.3798611,-73.2580508,51.89,0.070000000298,STABILIZE,3,7
447,44.3798619,-73.2580525,51.88,0.0999999940395,STABILIZE,3,7
447,44.3798626,-73.2580535,51.88,0.070000000298,STABILIZE,3,7
441,44.3798632,-73.2580539,51.88,0.0399999991059,STABILIZE,3,7
441,44.3798635,-73.2580544,51.86,0.0499999970198,STABILIZE,3,7
441,44.3798636,-73.2580542,51.85,0.209999993443,STABILIZE,3,7
441,44.3798637,-73.2580553,51.86,0.179999992251,STABILIZE,3,7
442,44.3798643,-73.2580558,51.86,0.019999999553,STABILIZE,3,7
442,44.3798646,-73.2580564,51.86,0.00999999977648,STABILIZE,3,7
442,44.3798647,-73.2580572,51.84,0.0799999982119,STABILIZE,3,7
442,44.3798645,-73.2580576,51.82,0.0799999982119,STABILIZE,3,7
442,44.3798647,-73.2580579,51.83,0.0399999991059,STABILIZE,3,7
442,44.3798649,-73.2580585,51.83,0.129999995232,STABILIZE,3,7
442,44.3798654,-73.2580591,51.86,0.109999999404,STABILIZE,3,7
439,44.3798651,-73.2580591,51.85,0.149999991059,STABILIZE,3,7
439,44.3798652,-73.2580597,51.85,0.140000000596,STABILIZE,3,7
439,44.3798652,-73.2580598,51.85,0.0899999961257,STABILIZE,3,7
439,44.3798654,-73.2580598,51.85,0.0799999982119,STABILIZE,3,7
439,44.3798655,-73.2580606,51.85,0.0999999940395,STABILIZE,3,7
439,44.3798654,-73.2580611,51.84,0.140000000596,STABILIZE,3,7
439,44.3798653,-73.2580616,51.85,0.0599999986589,STABILIZE,3,7
439,44.3798651,-73.2580629,51.83,0.0899999961257,STABILIZE,3,7
439,44.3798653,-73.258063,51.84,0.329999983311,STABILIZE,3,7
439,44.3798652,-73.2580645,51.84,0.019999999553,STABILIZE,3,7
439,44.3798649,-73.2580646,51.82,0.129999995232,STABILIZE,3,7
439,44.379865,-73.2580652,51.82,0.0499999970198,STABILIZE,3,7
438,44.379865,-73.2580653,51.82,0.119999997318,STABILIZE,3,7
438,44.379865,-73.258066,51.81,0.0499999970198,STABILIZE,3,7
438,44.3798648,-73.2580659,51.82,0.179999992251,STABILIZE,3,7
440,44.3798648,-73.2580659,51.82,0.0499999970198,STABILIZE,3,7
440,44.3798646,-73.2580657,51.82,0.129999995232,STABILIZE,3,7
440,44.3798646,-73.258066,51.83,0.0999999940395,STABILIZE,3,7
440,44.379864,-73.2580658,51.82,0.070000000298,STABILIZE,3,7
440,44.3798638,-73.2580656,51.82,0.149999991059,STABILIZE,3,7
440,44.3798633,-73.2580659,51.82,0.070000000298,STABILIZE,3,7
440,44.3798634,-73.2580657,51.81,0.119999997318,STABILIZE,3,7
440,44.3798627,-73.2580652,51.83,0.119999997318,STABILIZE,3,7
440,44.379862,-73.2580647,51.84,0.299999982119,STABILIZE,3,7
440,44.3798626,-73.2580642,51.84,0.239999994636,STABILIZE,3,7
440,44.3798628,-73.2580628,51.84,0.329999983311,STABILIZE,3,7
440,44.3798628,-73.2580605,51.82,0.0399999991059,STABILIZE,3,7
441,44.3798629,-73.2580594,51.79,0.179999992251,STABILIZE,3,7
441,44.3798631,-73.2580592,51.8,0.070000000298,STABILIZE,3,7
441,44.3798629,-73.258059,51.81,0.259999990463,STABILIZE,3,7
444,44.3798631,-73.2580587,51.8,0.109999999404,STABILIZE,3,7
444,44.3798639,-73.2580569,51.82,0.129999995232,STABILIZE,3,7
444,44.3798645,-73.2580564,51.82,0.070000000298,STABILIZE,3,7
444,44.379864,-73.2580555,51.8,0.159999996424,STABILIZE,3,7
447,44.3798633,-73.2580561,51.79,0.0299999993294,STABILIZE,3,7
447,44.3798632,-73.258056,51.8,0.0799999982119,STABILIZE,3,7
447,44.3798619,-73.2580558,51.82,0.0599999986589,STABILIZE,3,7
447,44.3798621,-73.2580558,51.83,0.0299999993294,STABILIZE,3,7
450,44.3798616,-73.2580565,51.82,0.0899999961257,STABILIZE,3,7
450,44.3798609,-73.2580568,51.81,0.140000000596,STABILIZE,3,7
450,44.3798605,-73.2580565,51.81,0.0399999991059,STABILIZE,3,7
450,44.3798598,-73.2580551,51.81,0.019999999553,STABILIZE,3,7
454,44.37986,-73.2580537,51.81,0.189999997616,STABILIZE,3,7
454,44.37986,-73.2580525,51.8,0.019999999553,STABILIZE,3,7
454,44.3798601,-73.2580512,51.8,0.0999999940395,STABILIZE,3,7
458,44.3798602,-73.2580493,51.83,0.409999996424,STABILIZE,3,7
458,44.3798597,-73.2580499,51.83,0.449999988079,STABILIZE,3,6
458,44.3798591,-73.2580516,51.82,0.179999992251,STABILIZE,3,6
458,44.379859,-73.258052,51.79,0.0299999993294,STABILIZE,3,6
471,44.3798595,-73.2580535,51.78,0.0499999970198,STABILIZE,3,6
471,44.3798597,-73.2580534,51.77,0.149999991059,STABILIZE,3,6
471,44.3798595,-73.2580527,51.75,0.0599999986589,STABILIZE,3,6
471,44.37986,-73.2580529,51.75,0.140000000596,STABILIZE,3,7
474,44.379861,-73.2580518,51.74,0.0499999970198,STABILIZE,3,7
474,44.3798611,-73.2580493,51.75,0.119999997318,STABILIZE,3,7
474,44.3798612,-73.2580477,51.73,0.149999991059,STABILIZE,3,7
474,44.3798614,-73.2580474,51.72,0.289999991655,STABILIZE,3,7
468,44.379862,-73.2580475,51.72,0.179999992251,STABILIZE,3,6
468,44.3798633,-73.2580515,51.72,0.439999997616,STABILIZE,3,6
