CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
480,44.3800138,-73.2580846,59.95,0.0399999991059,STABILIZE,3,9
480,44.380015,-73.2580841,59.9,0.0899999961257,STABILIZE,3,9
480,44.3800156,-73.258084,59.88,0.129999995232,STABILIZE,3,9
480,44.3800158,-73.2580846,59.9,0.019999999553,STABILIZE,3,9
480,44.3800166,-73.2580842,59.93,0.0299999993294,STABILIZE,3,9
480,44.3800177,-73.2580821,59.97,0.00999999977648,STABILIZE,3,9
480,44.3800188,-73.2580814,59.98,0.109999999404,STABILIZE,3,9
480,44.3800195,-73.2580816,59.99,0.140000000596,STABILIZE,3,9
480,44.3800196,-73.2580814,59.98,0.299999982119,STABILIZE,3,9
480,44.3800202,-73.2580816,59.96,0.170000001788,STABILIZE,3,9
480,44.3800201,-73.2580814,59.93,0.109999999404,STABILIZE,3,9
480,44.3800199,-73.2580815,59.93,0.019999999553,STABILIZE,3,9
480,44.3800202,-73.2580811,59.92,0.0799999982119,STABILIZE,3,9
