CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
554,44.3805624,-73.258284,55.09,0.409999996424,STABILIZE,3,7
554,44.3805619,-73.2582851,55.09,0.280000001192,STABILIZE,3,7
554,44.3805616,-73.2582845,55.08,0.389999985695,STABILIZE,3,7
554,44.3805613,-73.2582838,55.07,0.34999999404,STABILIZE,3,7
554,44.380561,-73.2582846,55.04,0.0299999993294,STABILIZE,3,7
554,44.3805608,-73.2582849,55.02,0.189999997616,STABILIZE,3,7
554,44.3805606,-73.2582858,55.0,0.179999992251,STABILIZE,3,7
554,44.3805606,-73.2582861,54.99,0.0799999982119,STABILIZE,3,7
554,44.3805607,-73.2582858,54.99,0.219999998808,STABILIZE,3,7
554,44.3805607,-73.2582863,54.99,0.0999999940395,STABILIZE,3,7
554,44.3805606,-73.2582859,54.98,0.259999990463,STABILIZE,3,7
554,44.3805603,-73.2582867,54.97,0.329999983311,STABILIZE,3,7
554,44.3805598,-73.2582864,54.95,0.289999991655,STABILIZE,3,7
554,44.3805598,-73.2582863,54.96,0.299999982119,STABILIZE,3,7
554,44.3805601,-73.2582875,54.95,0.140000000596,STABILIZE,3,7
554,44.3805603,-73.2582878,54.95,0.0299999993294,STABILIZE,3,7
554,44.3805601,-73.2582877,54.94,0.289999991655,STABILIZE,3,7
553,44.3805604,-73.2582874,54.92,0.199999988079,STABILIZE,3,7
553,44.3805595,-73.2582877,54.91,0.179999992251,STABILIZE,3,7
553,44.3805582,-73.2582884,54.91,0.310000002384,STABILIZE,3,7
553,44.3805575,-73.2582886,54.9,0.299999982119,STABILIZE,3,7
553,44.3805569,-73.2582895,54.89,0.259999990463,STABILIZE,3,7
553,44.3805562,-73.2582885,54.88,0.229999989271,STABILIZE,3,7
553,44.3805559,-73.2582888,54.87,0.42999997735,STABILIZE,3,7
553,44.3805558,-73.2582906,54.86,0.189999997616,STABILIZE,3,7
553,44.3805558,-73.2582917,54.85,0.0799999982119,STABILIZE,3,7
553,44.3805558,-73.2582934,54.83,0.0899999961257,STABILIZE,3,7
553,44.3805551,-73.2582938,54.81,0.0799999982119,STABILIZE,3,7
552,44.3805547,-73.2582932,54.79,0.439999997616,STABILIZE,3,7
552,44.3805548,-73.2582935,54.79,0.179999992251,STABILIZE,3,7
552,44.380554,-73.2582924,54.78,0.359999984503,STABILIZE,3,7
552,44.3805533,-73.258293,54.78,0.469999998808,STABILIZE,3,7
552,44.3805538,-73.2582921,54.78,0.179999992251,STABILIZE,3,7
552,44.380555,-73.2582966,54.79,0.239999994636,STABILIZE,3,7
552,44.3805545,-73.2582977,54.79,0.0899999961257,STABILIZE,3,7
552,44.3805543,-73.2582981,54.78,0.239999994636,STABILIZE,3,7
552,44.3805542,-73.2582984,54.77,0.129999995232,STABILIZE,3,7
552,44.3805543,-73.2582972,54.77,0.379999995232,STABILIZE,3,7
552,44.3805552,-73.2582978,54.75,0.109999999404,STABILIZE,3,7
552,44.3805559,-73.2582983,54.74,0.019999999553,STABILIZE,3,7
552,44.380556,-73.258297,54.72,0.199999988079,STABILIZE,3,7
552,44.3805555,-73.258296,54.7,0.199999988079,STABILIZE,3,7
552,44.3805552,-73.2582958,54.7,0.179999992251,STABILIZE,3,7
552,44.3805549,-73.2582955,54.71,0.329999983311,STABILIZE,3,7
552,44.3805547,-73.2582938,54.7,0.0899999961257,STABILIZE,3,7
552,44.3805548,-73.2582928,54.69,0.310000002384,STABILIZE,3,7
552,44.3805548,-73.2582938,54.69,0.280000001192,STABILIZE,3,7
551,44.3805552,-73.2582945,54.69,0.259999990463,STABILIZE,3,7
551,44.3805543,-73.2582937,54.68,0.289999991655,STABILIZE,3,7
551,44.3805552,-73.258295,54.66,0.359999984503,STABILIZE,3,7
551,44.3805548,-73.2582939,54.68,0.42999997735,STABILIZE,3,7
550,44.3805559,-73.2582948,54.65,0.289999991655,STABILIZE,3,7
550,44.3805571,-73.2582949,54.64,0.140000000596,STABILIZE,3,7
550,44.3805579,-73.2582953,54.63,0.419999986887,STABILIZE,3,7
550,44.3805591,-73.2582963,54.61,0.0999999940395,STABILIZE,3,7
550,44.3805609,-73.2582987,54.6,0.239999994636,STABILIZE,3,7
550,44.3805612,-73.2582997,54.59,0.399999976158,STABILIZE,3,7
550,44.3805615,-73.2583006,54.59,0.399999976158,STABILIZE,3,7
550,44.3805606,-73.2582994,54.59,0.269999980927,STABILIZE,3,7
550,44.3805607,-73.2582997,54.57,0.319999992847,STABILIZE,3,7
550,44.380561,-73.2582979,54.55,0.269999980927,STABILIZE,3,7
550,44.3805603,-73.2582972,54.55,0.159999996424,STABILIZE,3,7
550,44.3805612,-73.2582996,54.54,0.140000000596,STABILIZE,3,6
550,44.3805614,-73.2583016,54.53,0.140000000596,STABILIZE,3,6
550,44.3805611,-73.2583029,54.52,0.0599999986589,STABILIZE,3,6
550,44.3805609,-73.2583052,54.51,0.209999993443,STABILIZE,3,6
549,44.3805608,-73.2583071,54.5,0.0999999940395,STABILIZE,3,6
549,44.3805609,-73.2583069,54.48,0.259999990463,STABILIZE,3,7
549,44.3805608,-73.2583079,54.45,0.0299999993294,STABILIZE,3,7
549,44.380561,-73.2583083,54.44,0.219999998808,STABILIZE,3,7
549,44.3805606,-73.2583072,54.42,0.519999980927,STABILIZE,3,7
549,44.3805597,-73.2583065,54.43,0.179999992251,STABILIZE,3,7
549,44.3805593,-73.2583053,54.43,0.829999983311,STABILIZE,3,7
549,44.3805596,-73.2583022,54.43,0.340000003576,STABILIZE,3,7
549,44.3805597,-73.2583029,54.43,0.0999999940395,STABILIZE,3,7
549,44.380559,-73.2583015,54.42,0.299999982119,STABILIZE,3,7
549,44.3805586,-73.2583028,54.4,0.070000000298,STABILIZE,3,7
548,44.3805596,-73.2583046,54.4,0.219999998808,STABILIZE,3,7
548,44.3805579,-73.258302,54.4,0.119999997318,STABILIZE,3,7
548,44.3805585,-73.2583029,54.4,0.229999989271,STABILIZE,3,7
548,44.3805578,-73.2583009,54.39,0.179999992251,STABILIZE,3,7
548,44.380558,-73.2583016,54.38,0.00999999977648,STABILIZE,3,7
548,44.3805583,-73.2583029,54.38,0.0899999961257,STABILIZE,3,7
548,44.3805589,-73.2583045,54.37,0.0899999961257,STABILIZE,3,6
548,44.3805603,-73.2583065,54.36,0.280000001192,STABILIZE,3,6
548,44.3805602,-73.2583072,54.35,0.129999995232,STABILIZE,3,6
548,44.3805604,-73.2583055,54.36,0.0599999986589,STABILIZE,3,6
548,44.38056,-73.2583051,54.35,0.179999992251,STABILIZE,3,6
548,44.3805597,-73.2583054,54.35,0.229999989271,STABILIZE,3,6
548,44.38056,-73.2583049,54.33,0.0599999986589,STABILIZE,3,6
