CO2 (PPM), Latitude, Longitude, Altitude, Air Speed (m/s), Mode, Fixed Sats, Available Sats
533,44.380616,-73.2582849,50.63,0.189999997616,AUTO,4,11
533,44.3806158,-73.2582856,50.64,0.0399999991059,AUTO,4,11
533,44.3806162,-73.258285,50.64,0.209999993443,AUTO,4,11
533,44.3806184,-73.2582842,50.65,0.209999993443,AUTO,4,10
533,44.3806187,-73.2582853,50.64,0.0899999961257,AUTO,4,10
533,44.3806187,-73.2582867,50.63,0.189999997616,AUTO,4,10
533,44.3806185,-73.2582862,50.65,0.280000001192,AUTO,4,10
533,44.3806175,-73.2582864,50.65,0.070000000298,AUTO,4,10
533,44.3806171,-73.2582865,50.62,0.159999996424,AUTO,4,10
533,44.3806162,-73.2582861,50.62,0.0999999940395,AUTO,4,10
533,44.3806158,-73.2582859,50.62,0.289999991655,AUTO,4,10
533,44.3806148,-73.258286,50.6,0.0999999940395,AUTO,4,10
532,44.3806148,-73.2582863,50.6,0.0499999970198,AUTO,4,10
532,44.3806145,-73.2582858,50.6,0.0999999940395,AUTO,4,10
532,44.380614,-73.2582853,50.6,0.0799999982119,AUTO,4,10
532,44.3806138,-73.258285,50.6,0.109999999404,AUTO,4,10
532,44.380613,-73.2582858,50.6,0.179999992251,AUTO,4,10
532,44.3806131,-73.2582855,50.62,0.159999996424,AUTO,4,10
532,44.3806128,-73.2582862,50.61,0.0499999970198,AUTO,4,10
532,44.3806125,-73.2582863,50.61,0.140000000596,AUTO,4,10
532,44.3806123,-73.2582851,50.61,0.299999982119,AUTO,4,10
532,44.3806122,-73.2582846,50.61,0.199999988079,AUTO,4,10
532,44.3806124,-73.2582836,50.61,0.0999999940395,AUTO,4,10
532,44.3806122,-73.2582816,50.6,0.140000000596,AUTO,4,10
532,44.3806127,-73.2582815,50.56,0.0499999970198,AUTO,4,10
532,44.3806132,-73.2582807,50.56,0.070000000298,AUTO,4,10
532,44.3806129,-73.2582814,50.56,0.119999997318,AUTO,4,10
532,44.380614,-73.2582808,50.54,0.0499999970198,AUTO,4,10
532,44.3806143,-73.258281,50.53,0.109999999404,AUTO,4,10
532,44.3806141,-73.2582805,50.54,0.109999999404,AUTO,4,10
532,44.3806139,-73.2582807,50.54,0.209999993443,AUTO,4,10
532,44.3806136,-73.2582813,50.53,0.070000000298,AUTO,4,10
532,44.3806137,-73.2582809,50.52,0.0999999940395,AUTO,4,10
532,44.3806133,-73.2582794,50.53,0.109999999404,AUTO,4,10
532,44.3806129,-73.2582813,50.53,0.269999980927,AUTO,4,10
532,44.3806126,-73.2582825,50.53,0.149999991059,AUTO,4,10
532,44.3806127,-73.2582832,50.55,0.0399999991059,AUTO,4,10
